blank,active,,filtered_blank,filtered_active,,6s_average_time,6s_average_value
-1.45352,9.29412,,-1.458150183,9.29683461,,,
-1.45731,9.29559,,-1.458139429,9.296818679,,,
-1.45966,9.29608,,-1.458158892,9.296809224,,,
-1.46301,9.29547,,-1.458220986,9.296792082,,,
-1.46695,9.2944,,-1.458332718,9.296761463,,,
-1.46838,9.29406,,-1.458461323,9.296726884,,,
-1.46835,9.29199,,-1.458587898,9.296666252,,,
-1.46951,9.28955,,-1.458727701,9.296575164,,,
-1.47003,9.28833,,-1.45887237,9.296469626,,,
-1.4686,9.28854,,-1.458996884,9.296368127,,,
-1.46887,9.2915,,-1.45912326,9.296305815,,,
-1.47018,9.29733,,-1.459264786,9.296318924,,,
-1.47052,9.30111,,-1.459408853,9.29638025,,,
-1.47022,9.30224,,-1.459547236,9.296455255,,,
-1.47098,9.30352,,-1.459693575,9.296545684,,,
-1.47101,9.30438,,-1.459838425,9.296645963,,,
-1.46857,9.30578,,-1.459950189,9.296762878,,,
-1.46664,9.30801,,-1.460035819,9.296906842,,,
-1.46478,9.30859,,-1.460096545,9.297056386,,,
-1.461,9.30786,,-1.460108109,9.297194672,,,
-1.45725,9.30691,,-1.460071525,9.297319029,,,
-1.45511,9.30706,,-1.460008017,9.297443713,,,
-1.45252,9.30804,,-1.459912171,9.297579345,,,
-1.4491,9.30688,,-1.459773775,9.297698394,,,
-1.44708,9.30432,,-1.459611295,9.29778315,,,
-1.44559,9.3023,,-1.459431822,9.297840966,,,
-1.44269,9.3005,,-1.459217527,9.297875002,,,
-1.44077,9.29946,,-1.458981398,9.29789529,,,
-1.44086,9.30114,,-1.458749445,9.297936822,,,
-1.44055,9.30139,,-1.458516492,9.297981023,,,
-1.43958,9.30059,,-1.458274105,9.298014418,,,
-1.44141,9.30114,,-1.458058244,9.298054425,,,
-1.444,9.30166,,-1.457878299,9.298100576,,,
-1.44513,9.30346,,-1.45771512,9.298169177,,,
-1.44727,9.30627,,-1.457581423,9.298272868,,,
-1.44998,9.30844,,-1.457484125,9.298403007,,,
-1.45203,9.31033,,-1.457414312,9.298555672,,,
-1.45206,9.31234,,-1.457345777,9.298732112,,,
-1.45374,9.31533,,-1.457299623,9.298944565,,,
-1.45575,9.3186,,-1.457279787,9.299196154,,,
-1.45648,9.31848,,-1.45726955,9.299442987,,,
-1.45801,9.31524,,-1.457279028,9.299645189,,,
-1.46182,9.31048,,-1.457337152,9.299783875,,,
-1.46451,9.30392,,-1.457428965,9.299836817,,,
-1.46603,9.29815,,-1.457539058,9.299815226,,,
-1.46814,9.29629,,-1.45767475,9.299770103,,,
-1.46921,9.29534,,-1.457822401,9.299713398,,,
-1.46735,9.29571,,-1.457944355,9.299662154,,,
-1.46478,9.29885,,-1.458031851,9.299651759,,,
-1.46225,9.30325,,-1.458085843,9.299697816,,,
-1.45883,9.30804,,-1.458095368,9.299804596,,,
-1.45535,9.31173,,-1.458060228,9.299957241,,,
-1.45459,9.31219,,-1.458015809,9.300113821,,,
-1.45416,9.31097,,-1.457966454,9.30025278,,,
-1.45285,9.30871,,-1.457900964,9.300361032,,,
-1.45227,9.30777,,-1.457828887,9.300455867,,,
-1.45288,9.30926,,-1.457765542,9.30056856,,,
-1.45328,9.30899,,-1.457708127,9.300676354,,,
-1.4538,9.3063,,-1.457658103,9.300748337,,,
-1.45587,9.30343,,-1.457635215,9.300782662,,,
-1.45786,9.29879,,-1.457638092,9.300757156,,,
-1.4577,9.29486,,-1.457638885,9.300681673,,,
-1.45874,9.29327,,-1.457652979,9.300586803,,,
-1.46048,9.29129,,-1.457689165,9.300467804,,,
-1.46085,9.28897,,-1.457729624,9.300320632,,,
-1.46054,9.28872,,-1.457765596,9.300172144,,,
-1.46191,9.28955,,-1.457818645,9.300036181,,,
-1.46252,9.29263,,-1.457878822,9.299941382,,,
-1.46109,9.2948,,-1.457919925,9.299875572,,,
-1.46051,9.29538,,-1.457953078,9.299818029,,,
-1.45953,9.29467,,-1.457973263,9.299752134,,,
-1.4574,9.29299,,-1.457965925,9.299665578,,,
-1.45444,9.29153,,-1.457920793,9.299561443,,,
-1.4534,9.29153,,-1.457862927,9.299458641,,,
-1.45294,9.28964,,-1.457799913,9.299332962,,,
-1.45264,9.28622,,-1.457733867,9.299165116,,,
-1.45529,9.28552,,-1.457702585,9.298990459,,,
-1.45947,9.28616,,-1.457725208,9.298826229,,,
-1.4624,9.2901,,-1.457785045,9.298714533,,,
-1.46558,9.29696,,-1.457884821,9.298692075,,,
-1.46985,9.30206,,-1.458037975,9.298735184,,,
-1.47278,9.30505,,-1.458226673,9.298816014,,,
-1.47369,9.30648,,-1.458424604,9.298914113,,,
-1.47556,9.30633,,-1.458643937,9.299009036,,,
-1.4773,9.30578,,-1.458882734,9.299095705,,,
-1.47647,9.30288,,-1.459107851,9.299144144,,,
-1.47617,9.29797,,-1.459326247,9.299129115,,,
-1.47772,9.2937,,-1.459561687,9.299059622,,,
-1.4776,9.29064,,-1.459792577,9.298951851,,,
-1.47629,9.29071,,-1.460003744,9.298846355,,,
-1.47607,9.29489,,-1.460209392,9.298795714,,,
-1.4762,9.29794,,-1.460414072,9.298784761,,,
-1.4736,9.29977,,-1.460582852,9.298797372,,,
-1.47122,9.30139,,-1.460719007,9.298830557,,,
-1.46957,9.30239,,-1.4608323,9.298876118,,,
-1.46637,9.30334,,-1.460903183,9.298933256,,,
-1.46182,9.30484,,-1.460914918,9.299008862,,,
-1.45926,9.30337,,-1.460893735,9.299064685,,,
-1.45755,9.30053,,-1.460850935,9.299083441,,,
-1.45511,9.2976,,-1.460777451,9.299064453,,,
-1.45367,9.29718,,-1.460686476,9.299040332,,,
-1.45413,9.29907,,-1.460602553,9.299040712,,,
