blank1,blank2,sucrose1 ,sucrose2
0.92641737,0.920318725,0.904528764,0.945757997
0.939686369,0.933598938,0.921664627,0.954102921
0.954161641,0.948207171,0.936352509,0.969401947
0.966224367,0.962815405,0.951040392,0.97635605
0.975874548,0.973439575,0.963280294,0.986091794
0.984318456,0.981407703,0.974296206,0.991655076
0.993968637,0.988047809,0.982864137,0.991655076
0.993968637,0.993359894,0.987760098,0.995827538
0.996381182,0.997343958,0.993880049,0.993045897
1,1,0.995104039,0.994436718
0.996381182,0.998671979,1,0.987482615
0.993968637,1,0.996328029,0.984700974
0.989143546,0.994687915,0.995104039,0.974965229
0.981905911,0.988047809,0.990208078,0.966620306
0.973462002,0.980079681,0.984088127,0.956884562
0.962605549,0.972111554,0.975520196,0.942976356
0.951749095,0.961487384,0.964504284,0.930458971
0.936067551,0.948207171,0.955936353,0.915159944
0.920386007,0.932270916,0.94002448,0.898470097
0.902291918,0.916334661,0.924112607,0.877607789
0.884197829,0.897742364,0.905752754,0.85674548
0.863691194,0.879150066,0.888616891,0.83449235
0.841978287,0.859229748,0.867809058,0.810848401
0.82026538,0.84063745,0.845777234,0.787204451
0.794933655,0.812749004,0.82374541,0.76077886
0.76960193,0.788844622,0.799265606,0.734353268
0.74185766,0.759628154,0.774785802,0.706536857
0.712907117,0.729083665,0.747858017,0.677329624
0.685162847,0.703851262,0.718482252,0.646731572
0.655006031,0.673306773,0.691554468,0.617524339
0.623642943,0.642762284,0.662178703,0.588317107
0.592279855,0.614873838,0.631578947,0.554937413
0.56212304,0.584329349,0.599755202,0.52433936
0.531966224,0.553784861,0.569155447,0.493741307
0.503015682,0.523240372,0.539779682,0.460361613
0.470446321,0.491367862,0.507955936,0.432545202
0.440289505,0.459495352,0.477356181,0.401947149
0.406513872,0.428950863,0.445532436,0.371349096
0.376357057,0.397078353,0.414932681,0.340751043
0.347406514,0.369189907,0.385556916,0.31015299
0.318455971,0.335989376,0.35373317,0.282336579
0.289505428,0.30810093,0.324357405,0.254520167
0.260554885,0.278884462,0.29620563,0.228094576
0.236429433,0.250996016,0.268053856,0.203059805
0.209891435,0.225763612,0.241126071,0.176634214
0.183353438,0.199203187,0.216646267,0.154381085
0.160434258,0.173970784,0.190942472,0.134909597
0.137515078,0.151394422,0.166462668,0.114047288
0.117008444,0.130146082,0.144430845,0.0945758
0.097708082,0.110225764,0.122399021,0.076495132
0.080820265,0.091633466,0.102815177,0.059805285
0.066344994,0.07436919,0.085679315,0.0472879
0.05066345,0.058432935,0.069767442,0.034770515
0.038600724,0.045152722,0.055079559,0.025034771
0.02774427,0.033200531,0.041615667,0.016689847
0.016887817,0.025232404,0.030599755,0.009735744
0.010856454,0.015936255,0.020807834,0.004172462
0.00482509,0.007968127,0.012239902,0.004172462
0.002412545,0.003984064,0.007343941,0.001390821
0.002412545,0.002656042,0.003671971,0.005563282
0.001206273,0.001328021,0.00244798,0.008344924
0.002412545,0.003984064,0.00122399,0.011126565
0.006031363,0.006640106,0.00244798,0.018080668
0.014475271,0.013280212,0.007343941,0.030598053
0.021712907,0.019920319,0.012239902,0.043115438
0.032569361,0.029216467,0.020807834,0.051460362
0.044632087,0.041168659,0.031823745,0.066759388
0.056694813,0.054448871,0.042839657,0.082058414
0.072376357,0.070385126,0.055079559,0.100139082
0.090470446,0.086321381,0.069767442,0.11961057
0.108564536,0.103585657,0.086903305,0.140472879
0.127864897,0.123505976,0.104039168,0.162726008
0.148371532,0.144754316,0.123623011,0.186369958
0.172496984,0.166002656,0.143206854,0.210013908
0.195416164,0.19123506,0.165238678,0.235048679
0.220747889,0.215139442,0.188494492,0.26286509
0.246079614,0.241699867,0.215422277,0.289290682
0.271411339,0.266932271,0.239902081,0.318497914
0.301568154,0.292164675,0.266829865,0.347705146
0.329312425,0.324037185,0.29498164,0.376912378
0.35946924,0.353253652,0.321909425,0.406119611
0.388419783,0.38247012,0.35128519,0.438108484
0.418576598,0.413014608,0.379436965,0.468706537
0.449939686,0.443559097,0.4124847,0.49930459
0.480096502,0.474103586,0.440636475,0.531293463
0.51145959,0.505976096,0.47246022,0.561891516
0.544028951,0.536520584,0.504283966,0.592489569
0.572979493,0.565737052,0.533659731,0.623087622
0.604342581,0.596281541,0.565483476,0.650904033
0.633293124,0.626826029,0.596083231,0.682892907
